Size,Number of rooms,Location,Distance of the center,Years of construction,Date,Country,Build quality,Price final
0.709528064,0.612402908,0.951108182,0.817777884,0.868972165,17/09/2018,Congo,5,250770
0.70173601,0.43905304,0.287754241,0.152270686,0.527874208,18/04/2000,Bolivia,1,932068
0.116548363,0.56998732,0.168414107,0.663714165,0.429383997,15/12/2009,Algeria,10,762187
0.724382052,0.700737099,0.560488039,0.061113576,0.655489624,14/06/2022,Italy,6,749870
0.379022195,0.929070915,0.249451267,0.316594453,0.963040783,29/09/2000,Lebanon,9,206288
0.9061076,0.226647299,0.705932539,0.553073107,0.536811884,15/08/2006,United Kingdom,1,936709
0.159025131,0.651912607,0.290579229,0.973950208,0.451511839,29/07/2021,Belgium,10,255634
0.306159292,0.148587428,0.422823363,0.964222278,0.411430576,10/01/2021,Colombia,3,828899
0.012115706,0.133101539,0.849674618,0.978034412,0.157941486,15/11/1995,Algeria,7,472751
0.156581376,0.186309618,0.926816354,0.705687646,0.151966687,26/12/2002,New Zealand,4,276918
0.432671534,0.777901494,0.553972055,0.647442122,0.326820132,01/06/2008,Dominican Republic,9,586517
0.821312344,0.636654559,0.229321241,0.41843396,0.801443269,02/03/1994,Guernsey,3,530522
0.267184517,0.217614024,0.82372988,0.581860351,0.709157166,24/11/2002,French Southern Territories,5,259135
0.249483587,0.180902487,0.461998343,0.035071279,0.791717882,18/11/2000,Palau,3,617664
0.267995025,0.123155474,0.382144188,0.833335621,0.347827804,24/07/1994,Fiji,7,570308
0.98994561,0.676668756,0.90085483,0.774865268,0.539705515,14/06/2001,Lebanon,5,174105
0.583740225,0.870632349,0.268675046,0.121226869,0.558832318,27/05/2022,Estonia,9,429498
0.263521442,0.230963004,0.399180765,0.593191758,0.545317673,29/10/2023,Haiti,7,593674
0.10988197,0.039467563,0.602706269,0.123407168,0.504890814,06/08/2000,Serbia,2,763397
0.61745658,0.574805225,0.179539252,0.432647825,0.342523507,02/11/2020,Sudan,4,658377
0.471516371,0.938079363,0.789180652,0.964515239,0.608330255,23/11/2004,Nicaragua,9,126559
0.291456271,0.164772802,0.706288814,0.638955664,0.878948903,30/05/2022,Mayotte,2,492989
0.060021798,0.664513433,0.784732413,0.981928724,0.3746613,13/01/2005,Yemen,10,410980
0.317466744,0.598201896,0.389894764,0.402326257,0.732464479,11/06/1998,Bhutan,9,936426
0.014328455,0.32464739,0.319044031,0.748835286,0.314557116,27/10/2009,Norfolk Island,10,619046
0.658425544,0.603293681,0.413616849,0.373304978,0.564584058,29/11/1994,Russian Federation,5,985164
0.825315143,0.346384717,0.566819123,0.932227698,0.271636797,02/12/1999,Tanzania,2,645436
0.523372147,0.883969129,0.551709284,0.616252827,0.907639293,22/05/1994,Uganda,4,367648
0.586384022,0.632988614,0.803705424,0.979233083,0.795325354,19/06/1998,Suriname,7,726771
0.817080387,0.735994367,0.770432195,0.231096478,0.903443697,15/01/2014,Saint Lucia,8,899678
0.663023438,0.673714464,0.313324566,0.701519777,0.387930538,25/09/2011,Niger,3,377102
0.882618275,0.222694012,0.112910339,0.682200606,0.440706442,31/01/2023,Saint Helena,1,191285
0.845988877,0.313009219,0.505545938,0.650141735,0.321983087,02/09/2022,Timor-Leste,4,609570
0.012818333,0.950645625,0.796683646,0.192009777,0.287571749,11/05/2003,Uruguay,2,404570
0.783722357,0.446815468,0.864095924,0.703753508,0.02291006,05/11/2015,Czech Republic,8,633813
0.926174044,0.102029895,0.601162538,0.302176731,0.889327782,15/04/1994,Ghana,4,341718
0.167103164,0.011497972,0.621134451,0.406123808,0.314756493,22/05/2010,Pakistan,2,286308
0.749839284,0.177412417,0.013455258,0.417562619,0.665664835,14/11/2021,Israel,6,545043
0.433979351,0.311002813,0.916048676,0.406802279,0.269647862,03/07/2010,Madagascar,6,814970
0.825091461,0.033297784,0.358645598,0.749876455,0.946381847,14/04/2014,Cuba,10,303231
0.393720407,0.179494627,0.003446144,0.330181023,0.378475051,05/09/2019,Kuwait,4,642087
0.382230708,0.02515413,0.763539735,0.915141236,0.237820647,18/10/2008,Mayotte,6,326697
0.45683543,0.133342464,0.523348494,0.73462204,0.553342775,28/10/1996,Denmark,2,166943
0.638572738,0.589755418,0.136774788,0.844949474,0.475188912,26/08/2010,Reunion,10,167556
0.965551775,0.281535111,0.908593588,0.410585299,0.38592143,31/01/2010,Nepal,2,312606
0.338089522,0.302645712,0.868098094,0.529123539,0.364570157,26/08/1998,Angola,10,385728
0.151673141,0.246204769,0.293612165,0.607908948,0.373254959,24/08/2018,Sri Lanka,4,872581
0.956271601,0.764837397,0.405256781,0.748275374,0.949694181,12/09/2001,Iraq,8,515992
0.078018699,0.892370371,0.246434281,0.063957897,0.537203487,14/08/2021,Norway,7,973770
0.78306747,0.836396007,0.454403559,0.590955066,0.533912299,28/04/2001,Azerbaijan,9,573065
0.925342811,0.220009978,0.310236852,0.070913473,0.499907957,25/11/2003,Somalia,8,352934
0.128282107,0.068446255,0.447500273,0.164021745,0.346104029,02/11/2021,Tonga,5,218082
0.609870918,0.502160056,0.718533293,0.156164959,0.920441036,20/12/1995,Italy,2,323367
0.123253708,0.149725564,0.782662927,0.588110053,0.380758291,16/07/2014,Macao,5,594921
0.874762524,0.581262038,0.524544066,0.816448042,0.74933518,16/10/2001,Hong Kong,8,925832
0.768500107,0.168701029,0.016376906,0.843302675,0.578253845,29/03/1999,Liberia,10,551551
0.926481101,0.353971748,0.724522002,0.300986509,0.001163664,10/10/2012,Suriname,9,901888
0.150024179,0.504802033,0.212321485,0.074624121,0.617451982,20/07/2012,Georgia,9,435735
0.5806458,0.953603368,0.65048335,0.673113302,0.178928512,20/05/2017,Australia,1,740414
0.470956852,0.800826576,0.460698988,0.062850678,0.905541661,04/04/2017,Uganda,9,612558
0.572354512,0.069636316,0.552869394,0.575738932,0.214339879,11/02/2001,Latvia,7,733761
0.622876149,0.259614099,0.581748418,0.240952043,0.446445272,24/10/2014,Solomon Islands,9,114348
0.320587306,0.274571751,0.406935912,0.96198262,0.522229295,04/10/2000,Burundi,8,371393
0.921147138,0.884111954,0.097994742,0.634297411,0.80809898,16/06/1995,Gibraltar,1,585307
0.017495547,0.973712902,0.472196703,0.393595895,0.394948714,07/06/1995,French Southern Territories,8,347051
0.327333626,0.98535761,0.368168,0.526725016,0.848294266,12/03/2001,Anguilla,8,415898
0.523750977,0.11408631,0.130006955,0.694107532,0.917460657,12/03/1999,United Arab Emirates,3,822529
0.402895611,0.002553588,0.511206743,0.193204485,0.868146649,26/10/2012,Bahrain,1,375259
0.451146043,0.155433304,0.737986382,0.919934732,0.041938014,23/03/2008,Estonia,8,972572
0.73267197,0.953187644,0.164083285,0.221368559,0.154811241,16/12/2018,Gibraltar,3,877496
0.164946661,0.524234038,0.269209919,0.829195779,0.006592405,06/04/2019,United States Minor Outlying Islands,3,139554
0.096710502,0.466312216,0.436207296,0.852523007,0.625397193,06/04/2019,Romania,1,664135
0.982360375,0.653394732,0.52200145,0.607920058,0.382443705,21/03/2015,Papua New Guinea,5,253281
0.291006794,0.057766299,0.044721929,0.204912981,0.232913054,27/10/1999,Belgium,10,340166
0.630910431,0.211254731,0.187876539,0.471236993,0.888668599,01/01/2015,Gambia,7,111361
0.578094907,0.257213679,0.353436554,0.213835256,0.571809995,06/07/2011,Trinidad and Tobago,10,631538
0.254817818,0.779648206,0.255953665,0.150311551,0.349808749,01/05/2016,Cuba,9,391783
0.648087112,0.863067996,0.29314051,0.450206616,0.228310426,03/12/2018,Madagascar,7,122760
0.953769396,0.415890213,0.78887011,0.142643437,0.812355044,10/07/2016,Liberia,9,803051
0.903208325,0.167197129,0.476481829,0.620109532,0.596192971,06/04/2017,Seychelles,8,612075
0.175643833,0.253378595,0.891550049,0.941027083,0.569630104,20/02/2001,Guyana,2,660731
0.61630765,0.170304705,0.686410882,0.452351102,0.517381959,01/12/2012,Brazil,1,407287
0.835427961,0.619421554,0.748723635,0.522706003,0.618353379,17/03/2006,Burundi,7,779626
0.46827093,0.680212904,0.621429379,0.702314518,0.785215875,12/04/2013,Cayman Islands,7,986384
0.497257237,0.956634323,0.752671749,0.17114165,0.829584471,25/06/2015,Lebanon,8,983674
0.718819044,0.084390747,0.394960428,0.517275403,0.839013603,08/12/2018,Malaysia,5,283521
0.653432688,0.576910908,0.126052609,0.234858693,0.341122313,17/06/2011,Canada,3,259417
0.05819777,0.873102566,0.288943418,0.290320604,0.206228137,02/03/2020,Syrian Arab Republic,8,752668
0.208281359,0.608570338,0.72299996,0.373840086,0.585451697,21/12/2007,Saint Martin,6,138403
0.730010989,0.801453028,0.648793116,0.323896028,0.926792494,30/01/2005,Kiribati,3,158973
0.408234621,0.692075092,0.845931786,0.356575499,0.232624446,14/03/2020,Cayman Islands,1,986897
0.183293364,0.803019382,0.476607181,0.799512504,0.50554115,01/06/1999,South Africa,3,800559
0.900627295,0.32025173,0.460748135,0.229400627,0.183409464,27/11/2000,Norfolk Island,5,674573
0.793318171,0.429217052,0.995048723,0.197341418,0.092977993,08/09/2016,Wallis and Futuna,3,410178
0.437776311,0.00312435,0.874771363,0.876921007,0.806416674,20/01/2024,Hungary,1,702022
0.744926225,0.489353125,0.153826577,0.242798265,0.972589537,18/05/1994,Zimbabwe,5,859305
0.478018307,0.74860166,0.661113241,0.439167191,0.353910825,04/02/2011,Malaysia,10,986365
0.78777148,0.679843066,0.57766917,0.368800885,0.205081358,16/07/1996,Jersey,7,598794
0.970542256,0.978747915,0.130222616,0.103935323,0.412716727,10/07/2011,Saint Vincent and the Grenadines,7,183153
0.363802108,0.703585059,0.178731237,0.363323484,0.291307446,20/07/1997,Tonga,9,347358
0.548701256,0.85754659,0.514170547,0.683496617,0.075248018,21/03/2008,Canada,10,742613
0.599461676,0.281054371,0.287265831,0.076766737,0.310237861,23/11/2008,Albania,10,687129
0.066665551,0.651459186,0.488875761,0.536908008,0.832796674,20/10/1997,Andorra,3,159803
0.551810176,0.945021918,0.517869619,0.831912174,0.757032054,03/12/1994,Netherlands,7,834966
0.406680184,0.530628689,0.507285755,0.709110363,0.409981319,12/05/1994,Togo,1,259572
0.684853003,0.950123455,0.428716176,0.078205657,0.121618986,24/08/2001,Vanuatu,4,483559
0.907826145,0.281650111,0.898879041,0.773506849,0.871201036,20/01/2009,Bahrain,4,163613
0.093589132,0.202280768,0.309902227,0.740812592,0.024714379,14/09/1999,Cook Islands,5,643052
0.376490195,0.081089628,0.768967843,0.141314973,0.88475691,05/09/2004,United States Virgin Islands,7,834858
0.290360913,0.454316152,0.694246962,0.831913313,0.421357088,11/11/1997,Malaysia,7,974577
0.708684719,0.348198982,0.101335484,0.386664557,0.880215624,30/03/2018,Switzerland,4,965152
0.886416388,0.509654416,0.717015038,0.045371422,0.557311972,10/07/1999,Norway,7,832630
0.566814326,0.807163766,0.560893644,0.936191541,0.810332508,15/05/2006,Ukraine,3,503827
0.668485427,0.938406032,0.987715869,0.763186438,0.573769306,19/07/2021,American Samoa,6,652617
0.283603027,0.654349346,0.871835576,0.969809489,0.341334601,21/12/2012,Jamaica,2,330793
0.623173243,0.347591882,0.619088565,0.584448904,0.606525506,14/01/2019,Antigua and Barbuda,10,499016
0.170081513,0.367293948,0.586001727,0.283327739,0.978153122,10/03/2016,Zambia,9,583052
0.877365046,0.080063663,0.820688002,0.571008369,0.031802041,07/12/2011,Costa Rica,5,425549
0.515217796,0.049031246,0.071200098,0.887204314,0.765825547,08/08/2002,Lithuania,6,432938
0.794679568,0.889590641,0.468306927,0.897499877,0.507850073,06/12/2005,Iceland,4,231338
0.235951789,0.168521276,0.342018825,0.164399023,0.284162806,08/10/2012,South Africa,10,574499
0.375041294,0.368724005,0.194529975,0.447411454,0.624635559,06/12/2018,Turkey,7,590985
0.443281176,0.947960917,0.134658927,0.767215953,0.617638051,20/07/2009,Martinique,9,386990
0.962836633,0.626931831,0.784604125,0.877581773,0.714583471,08/04/2015,Spain,7,774310
0.854492613,0.480578253,0.620708226,0.079226538,0.497351323,18/01/2008,Gambia,1,951011
0.448554856,0.223427317,0.3096702,0.700624358,0.224190699,06/04/1995,Swaziland,1,155517
0.970417479,0.060781842,0.108122607,0.506083466,0.527109825,07/07/1996,United States of America,9,463766
0.494723498,0.346643747,0.318853771,0.861407182,0.196732866,01/07/1998,Botswana,9,802053
0.625022548,0.810930856,0.330978694,0.173461998,0.209194168,19/05/2013,India,4,374713
0.877280231,0.103891354,0.032368534,0.088378246,0.84564312,03/07/2016,French Guiana,9,233570
0.336296541,0.212678128,0.561975239,0.537828279,0.591023988,17/07/2012,Hong Kong,3,150277
0.035031653,0.663826461,0.523258048,0.82101126,0.300409859,29/04/2020,Estonia,7,309441
0.096698386,0.977911563,0.511935929,0.629478514,0.670797186,07/04/2001,Mozambique,6,253083
0.870266465,0.387186976,0.657000887,0.757123824,0.190125898,22/08/2012,Maldives,8,886410
0.602208464,0.800937696,0.610838657,0.179783831,0.546368491,31/12/2002,Paraguay,9,592957
0.832651502,0.784623284,0.021740808,0.239454814,0.542942406,25/02/2022,Ecuador,5,191173
0.641042318,0.380344171,0.184627207,0.760035855,0.206781559,25/03/1999,France,1,993642
0.09105385,0.251100224,0.284929806,0.647209134,0.160883368,11/12/2005,Congo,3,281703
0.490931731,0.434694514,0.566601347,0.022446967,0.990086375,06/05/2002,Germany,10,515047
0.589977605,0.437078758,0.024037697,0.924428752,0.010566872,23/01/2010,Turkey,8,591172
0.237604497,0.254179074,0.000423129,0.066351172,0.044888412,29/07/2016,Chile,6,729242
0.726700084,0.352745013,0.82125445,0.53977452,0.304310276,11/12/2006,Sudan,8,277979
0.944908687,0.619116417,0.731234145,0.67658337,0.667749985,25/02/1999,Congo,9,978462
0.821710229,0.044518851,0.956165684,0.424159683,0.289895492,08/08/2000,Reunion,4,100295
0.474755062,0.645105677,0.499914388,0.631272257,0.138030915,16/02/2014,Gambia,1,794847
0.285838145,0.253356062,0.61517535,0.455889424,0.038811981,12/03/2022,Bouvet Island (Bouvetoya),1,364185
0.353081157,0.006182951,0.493987265,0.360669664,0.555441302,12/12/2008,Cocos (Keeling) Islands,10,948516
0.157083648,0.278053556,0.001763182,0.120012956,0.750830364,31/07/1998,India,4,169091
0.167831521,0.788771716,0.705044472,0.322132143,0.330739144,25/07/2003,Russian Federation,7,661737
0.386186944,0.061179881,0.374419177,0.207312673,0.939207017,28/02/2009,Puerto Rico,2,211287
0.292988537,0.050215965,0.83001667,0.906296402,0.112279606,11/11/1999,Spain,3,437688
0.145211687,0.291903591,0.30427465,0.030058312,0.036273235,24/12/1998,Reunion,1,728052
0.306648321,0.378674661,0.714842929,0.366517204,0.227760403,28/08/2014,Bouvet Island (Bouvetoya),5,856380
0.180565017,0.06964827,0.426954445,0.039570962,0.964998058,08/09/2015,Isle of Man,1,503794
0.172454086,0.56982848,0.356565757,0.774266744,0.545806486,14/05/2014,Western Sahara,8,482993
0.390729056,0.400610924,0.665772421,0.809478584,0.626214991,28/02/2006,Netherlands Antilles,1,148320
0.479496836,0.197035086,0.680246491,0.22145194,0.001256795,03/11/2007,Northern Mariana Islands,1,655792
0.196632042,0.268146731,0.330447698,0.474546426,0.069351671,08/10/2007,Poland,2,983453
0.295766131,0.117646228,0.404791594,0.284028668,0.026055553,18/04/2018,Saint Pierre and Miquelon,2,239239
0.209182253,0.162872228,0.547292764,0.630753503,0.957542557,06/03/2009,New Zealand,6,673452
0.878181046,0.449953786,0.122345751,0.377447286,0.136566927,01/08/2005,San Marino,7,125763
0.2384237,0.002007046,0.872432358,0.443788838,0.23885988,30/06/2023,Bouvet Island (Bouvetoya),5,624839
0.194556161,0.841226225,0.170331634,0.561854684,0.077320245,21/03/2009,Zimbabwe,1,452140
0.903152511,0.397877779,0.810672057,0.853654479,0.702949291,27/02/2006,Burundi,1,869191
0.168559672,0.118096757,0.725137664,0.557006821,0.525950865,23/09/2012,Serbia,3,899088
0.20654797,0.400277007,0.740143207,0.254516617,0.698613001,06/08/2018,Zimbabwe,2,496307
0.232914561,0.450856683,0.096664767,0.335153143,0.506880444,16/10/1997,Togo,5,852482
0.218092128,0.631577841,0.382457783,0.482094867,0.836134869,15/02/2022,Iceland,10,476171
0.656775042,0.803611943,0.638139488,0.064809826,0.342172983,22/12/2007,San Marino,6,648840
0.586729078,0.84294064,0.586558561,0.372270258,0.080228563,24/09/2003,Saint Vincent and the Grenadines,7,422330
0.960862816,0.715031842,0.749383154,0.435969266,0.109964828,26/08/2009,Switzerland,4,396462
0.486779351,0.460979787,0.433408217,0.495977467,0.987023082,22/07/2001,Djibouti,7,326267
0.239507744,0.466606266,0.200049233,0.558192235,0.265011786,10/08/2010,Norway,8,192500
0.128255112,0.368038799,0.477177609,0.43248,0.725665764,18/04/1998,Montenegro,1,488319
0.051703,0.767595118,0.352527127,0.889724741,0.395056774,07/03/2002,Sierra Leone,6,237390
0.651152451,0.413488913,0.567399269,0.543445189,0.584820037,20/05/2004,Suriname,8,606629
0.145043272,0.014616884,0.624780101,0.116913572,0.770411637,11/10/1994,Cote d'Ivoire,5,992407
0.664476963,0.482014893,0.352281081,0.490925094,0.190352228,02/10/1997,Togo,4,189105
0.217422971,0.264067136,0.749328256,0.177835936,0.245887586,13/11/2021,North Macedonia,2,981792
0.617903566,0.694385453,0.214327762,0.687376391,0.596376618,22/07/2009,Denmark,6,135415
0.567920503,0.493292176,0.641828066,0.180979578,0.540709955,30/10/2008,Bulgaria,6,117140
0.469382051,0.881471964,0.818627441,0.629569961,0.716486936,24/11/2009,Saint Martin,1,128886
0.486164688,0.317747565,0.139776966,0.07520879,0.044885685,16/10/2017,Grenada,9,277364
0.732642242,0.248614119,0.368740427,0.822716214,0.114657497,14/04/2009,Cuba,6,813431
0.342029515,0.117807213,0.091492697,0.335514346,0.140341973,16/10/2012,Qatar,3,233708
0.595008422,0.145276117,0.756732313,0.218174976,0.797976579,13/06/2009,Turkmenistan,4,732871
0.33307468,0.583119995,0.038661814,0.495244434,0.148687895,12/08/1996,Cayman Islands,4,751611
0.43708912,0.11062082,0.219951518,0.595078936,0.976660637,23/12/2008,Saint Pierre and Miquelon,3,221633
0.539424671,0.498357934,0.064704197,0.144297402,0.883057729,20/05/1997,South Africa,10,304248
0.528233233,0.37888238,0.387816543,0.555465006,0.141141801,10/02/1996,Cocos (Keeling) Islands,3,593090
0.985126224,0.351454769,0.644578896,0.1374155,0.065481382,12/12/2000,Gabon,3,870356
0.317499288,0.504578003,0.135744184,0.707160294,0.070330592,29/06/2013,British Indian Ocean Territory (Chagos Archipelago),4,981059
0.27885053,0.862574354,0.98607187,0.254349101,0.80624615,03/10/2004,Somalia,7,514865
0.957235611,0.486617092,0.674168041,0.823877364,0.479536445,17/01/2016,Azerbaijan,4,474414
0.780825713,0.68619578,0.4511399,0.419336657,0.072589643,23/08/2009,Bermuda,9,916724
0.417492852,0.79603676,0.542654056,0.936706043,0.196140799,10/04/1996,Northern Mariana Islands,1,550018
0.642423974,0.501853714,0.359576401,0.139309183,0.134834151,21/10/1994,Bolivia,8,735424
0.961297974,0.325648487,0.983523722,0.205423257,0.102814386,31/03/2002,Italy,7,250104
0.521851944,0.135650106,0.20249905,0.311260662,0.590166738,20/01/2016,Puerto Rico,2,536741
0.616293556,0.873823737,0.500961826,0.331176414,0.996271568,10/01/2009,Korea,8,799918
0.809127225,0.088636234,0.386490106,0.085710093,0.139305867,31/05/1995,Montserrat,1,655955
0.38028789,0.809163805,0.587004361,0.634914044,0.519249238,22/10/2002,Guadeloupe,9,854446
0.849740728,0.812132106,0.182713074,0.593876225,0.582163196,25/07/2000,France,9,946278
0.089170477,0.102163234,0.90228157,0.630186439,0.262317214,03/09/2023,Armenia,2,407331
0.406934975,0.441324171,0.060649991,0.138739187,0.393350427,22/12/2009,Lebanon,7,630853
0.334557793,0.695071952,0.79205079,0.190220704,0.731487132,07/11/2023,Cocos (Keeling) Islands,10,181157
0.789376077,0.712326686,0.235138308,0.633903227,0.643273994,14/05/2021,Burundi,3,510871
0.694028488,0.952101536,0.295306208,0.246363152,0.601806892,25/05/2019,Swaziland,7,998673
0.088851485,0.49058388,0.620414375,0.070109639,0.206953152,08/01/1996,Iraq,10,254949
0.676104643,0.529021341,0.38210847,0.450676254,0.012976671,10/07/1996,Ukraine,9,254005
0.829317493,0.540996521,0.527819191,0.704578628,0.859559533,27/02/1997,Kenya,4,305400
0.150658232,0.878630926,0.040672018,0.807337171,0.680421626,22/09/1998,French Guiana,1,641054
0.053154085,0.609446407,0.124671455,0.078468612,0.448277146,11/05/2018,Suriname,2,259360
0.968940711,0.569582958,0.23516887,0.843206392,0.853103375,23/10/1995,Montserrat,1,627867
0.867792455,0.163291682,0.931600126,0.947203149,0.871992374,26/08/2015,Cyprus,5,803932
0.497638212,0.594930237,0.840600623,0.029582845,0.362942592,14/05/1998,Armenia,5,942572
0.848687927,0.1692159,0.705886618,0.146503341,0.785098009,17/09/1999,Dominican Republic,7,656434
0.455001619,0.986263465,0.579893831,0.632579364,0.368163514,23/10/2013,Zimbabwe,9,914657
0.018066635,0.608581598,0.83045959,0.23680177,0.221063755,04/05/2004,Yemen,9,204031
0.249620338,0.932262651,0.927387357,0.200536672,0.263784412,05/05/2006,Malaysia,3,305744
0.709882689,0.44490005,0.169001346,0.461009849,0.606767792,15/11/2001,Czech Republic,3,941648
0.130214128,0.452188105,0.090775819,0.04908875,0.857239916,06/11/1998,New Caledonia,3,129920
0.148982758,0.262527571,0.36133942,0.143676436,0.045962297,16/07/2009,Dominica,4,551194
0.061320983,0.805072161,0.282008337,0.722820301,0.146225749,04/11/2005,Bulgaria,8,112130
0.988635838,0.07344447,0.400554598,0.04308097,0.199226443,27/07/2020,Guyana,6,819400
0.856855921,0.177803238,0.861784847,0.538021963,0.878206674,01/03/2004,Equatorial Guinea,8,101774
0.680698596,0.542933387,0.810587344,0.648276024,0.877046925,02/06/1995,Jamaica,1,410333
0.870600843,0.214814064,0.485741357,0.960741822,0.473601801,26/12/2011,Faroe Islands,8,993075
0.885084119,0.954883039,0.950107643,0.698942392,0.509601889,17/03/2021,Cape Verde,4,240873
0.059766608,0.01771491,0.878116722,0.809086316,0.567821381,01/08/2001,Saint Barthelemy,1,113419
0.655108971,0.464574567,0.152170716,0.515593805,0.157743673,31/05/2010,Ukraine,8,910935
0.341978989,0.152787274,0.582396604,0.602364174,0.193804242,03/11/2002,Mayotte,4,871088
0.243281073,0.838192035,0.470323826,0.434989239,0.294962416,08/04/2005,Austria,6,132003
0.261127462,0.095096669,0.136919553,0.792803535,0.435826911,01/07/2001,Croatia,8,170767
0.514235483,0.852051684,0.641743254,0.176032801,0.158702712,23/04/1994,Antarctica (the territory South of 60 deg S),4,773199
0.755577195,0.40145382,0.343023773,0.509108332,0.708956804,05/03/1999,Portugal,3,374416
0.629362564,0.787970267,0.696782274,0.19312284,0.05235445,28/04/2004,Cambodia,9,342582
0.726932297,0.724205823,0.27014708,0.542441709,0.992239664,26/12/1997,Ghana,3,140020
0.301045866,0.483577291,0.404598666,0.371153046,0.626971909,28/10/2002,Grenada,9,704857
0.740052997,0.830325681,0.841450673,0.566399695,0.780073936,30/08/2010,Cocos (Keeling) Islands,2,374560
0.19069853,0.915617092,0.258530361,0.102723374,0.439104447,09/04/1996,Guinea,2,956498
0.555796241,0.807893357,0.257084966,0.580322246,0.339312596,21/10/1999,Nauru,2,325413
0.350422572,0.994482882,0.563775198,0.824461559,0.725135223,14/03/2014,Mali,6,154676
0.22255371,0.487411178,0.852328676,0.197606581,0.971065832,22/11/1995,Belgium,3,986820
0.167233783,0.586005953,0.917541082,0.255111387,0.553036853,12/01/2022,Korea,9,821078
0.123246336,0.491310768,0.655181814,0.579127917,0.140000483,03/04/2013,El Salvador,4,639511
0.808909296,0.908074403,0.813611515,0.973923879,0.408251804,06/05/2011,Eritrea,1,366634
0.449895856,0.651371552,0.815408641,0.267455383,0.513591276,05/08/2015,Hong Kong,4,969041
0.274020717,0.796282438,0.173361012,0.904979834,0.952596749,08/01/2020,Ghana,1,646810
0.743278259,0.456288599,0.028610144,0.919876728,0.430750342,23/01/2016,Macao,5,190181
0.218906163,0.206022,0.545731327,0.391042292,0.572993278,19/10/2001,Canada,4,203672
0.007670799,0.05055571,0.61007944,0.626256081,0.878190844,27/05/2018,Japan,8,907697
0.468516228,0.808985401,0.922824965,0.236915119,0.539604735,18/07/2022,Anguilla,8,691005
0.090114121,0.94172807,0.638056458,0.854216742,0.998295174,24/08/2002,Moldova,7,755250
0.886986294,0.575938167,0.639696378,0.40767109,0.674760834,06/04/2016,Hong Kong,3,800445
0.102911743,0.0078084,0.055151124,0.192521641,0.45660382,13/02/2012,Benin,1,910640
0.781444604,0.762166558,0.789730292,0.921540943,0.119071001,18/12/2014,Georgia,1,612357
0.915141199,0.775477743,0.324121272,0.087635818,0.616380026,19/01/1995,Spain,3,716380
0.94180336,0.572617245,0.923834436,0.393038786,0.633351337,22/05/2022,Chile,6,882970
0.614898677,0.716307982,0.882107757,0.088180061,0.336859382,30/11/2021,Thailand,7,112796
0.956007925,0.120380465,0.11910768,0.934861794,0.295771901,10/11/2018,India,6,854437
0.275595935,0.693526427,0.426036163,0.516870352,0.917295597,05/06/2023,Montserrat,6,420499
0.851930749,0.774855797,0.263734187,0.324234126,0.310277836,16/09/2007,Vanuatu,6,655665
0.489401585,0.133872969,0.819738541,0.380663004,0.527572193,22/08/2017,Oman,3,177837
0.675054831,0.766770545,0.710035585,0.737018636,0.104619851,15/09/2022,Comoros,6,128548
0.098015432,0.75716083,0.889406117,0.716709907,0.805573453,29/10/2016,Netherlands,8,739747
0.965152552,0.601197805,0.813253157,0.650169182,0.570037789,01/03/2010,Czech Republic,2,499723
